label,trials,offset,keys,direction,response_time,statement,response_numeric
Block 3: Monocular_UC,18,-0.15000000000000002,['left'],left,0.2528027830003339,correct,1
Block 3: Monocular_UC,19,0.10000000000000002,['left'],right,0.2445113769999807,false,0
Block 3: Monocular_UC,20,-0.10000000000000002,['right'],left,0.9484912919997441,false,0
Block 3: Monocular_UC,21,-0.15000000000000002,['left'],left,0.3163878590003151,correct,1
Block 3: Monocular_UC,22,0.15000000000000002,['left'],right,0.28434290299992426,false,0
Block 3: Monocular_UC,23,0.2,['right'],right,0.3801399270005277,correct,1
Block 3: Monocular_UC,24,-0.15000000000000002,['right'],left,1.6685169880001922,false,0
Block 3: Monocular_UC,25,-0.2,['left'],left,0.3891275219993986,correct,1
Block 3: Monocular_UC,26,0.2,['right'],right,0.3966811099999177,correct,1
Block 3: Monocular_UC,27,0.15000000000000002,['right'],right,0.28597591500056296,correct,1
Block 3: Monocular_UC,28,0.15000000000000002,['right'],right,0.3336605779995807,correct,1
Block 3: Monocular_UC,29,-0.2,['left'],left,0.5649634620003781,correct,1
Block 3: Monocular_UC,30,0.10000000000000002,['right'],right,0.3963343300001725,correct,1
Block 3: Monocular_UC,31,-0.15000000000000002,['right'],left,1.0438372250000612,false,0
Block 3: Monocular_UC,32,0.10000000000000002,['left'],right,0.8050996500005567,false,0
Block 3: Monocular_UC,33,0.15000000000000002,['right'],right,0.6511081910002758,correct,1
Block 3: Monocular_UC,34,0.15000000000000002,['right'],right,0.5970076000003246,correct,1
Block 3: Monocular_UC,35,-0.2,['right'],left,0.2923445489996084,false,0
Block 3: Monocular_UC,36,-0.25,['left'],left,0.4138887250001062,correct,1
Block 3: Monocular_UC,37,-0.25,['left'],left,0.340378282000529,correct,1
Block 3: Monocular_UC,38,0.10000000000000002,['left'],right,0.93196072200044,false,0
Block 3: Monocular_UC,39,-0.2,['left'],left,0.36362346799978695,correct,1
Block 3: Monocular_UC,40,0.15000000000000002,['left'],right,0.5644368650000615,false,0
Block 3: Monocular_UC,41,-0.2,['left'],left,1.3562432979997538,correct,1
Block 3: Monocular_UC,42,0.2,['right'],right,0.3656353020005554,correct,1
Block 3: Monocular_UC,43,0.2,['right'],right,0.45209458800036373,correct,1
Block 3: Monocular_UC,44,-0.15000000000000002,['left'],left,0.48504250699988916,correct,1
Block 3: Monocular_UC,45,-0.15000000000000002,['left'],left,0.26001192500007164,correct,1
Block 3: Monocular_UC,46,0.15000000000000002,['left'],right,0.30066572899977473,false,0
Block 3: Monocular_UC,47,-0.10000000000000002,['right'],left,0.35699730700071086,false,0
Block 3: Monocular_UC,48,-0.15000000000000002,['left'],left,0.34060794099968916,correct,1
Block 3: Monocular_UC,49,-0.15000000000000002,['left'],left,0.7241219450006611,correct,1
Block 3: Monocular_UC,50,-0.10000000000000002,['left'],left,0.38021386099990195,correct,1
Block 3: Monocular_UC,51,0.2,['right'],right,0.421089163999568,correct,1
Block 3: Monocular_UC,52,-0.10000000000000002,['right'],left,0.4279195750004874,false,0
Block 3: Monocular_UC,53,-0.15000000000000002,['left'],left,0.2454441419995419,correct,1
Block 3: Monocular_UC,54,0.2,['left'],right,0.3552504710005451,false,0
Block 3: Monocular_UC,55,0.25,['right'],right,0.42837087899988546,correct,1
Block 3: Monocular_UC,56,-0.15000000000000002,['left'],left,0.3238520969998717,correct,1
Block 3: Monocular_UC,57,0.25,['right'],right,0.5880878570005734,correct,1
